    + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
    |               Plain recursion1 |               Plain recursion2 |                Plain iterative |
--- + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
  n | sol            count  cpu time | sol            count  cpu time | sol            count  cpu time |
--- + --- ---------------- --------- + --- ---------------- --------- + --- ---------------- --------- +
  1 |   1                2 7.000e-07 |   1                2 2.100e-06 |   1                6 1.100e-06 |
  2 |   2                3 9.000e-07 |   2                3 5.000e-07 |   2                9 4.000e-07 |
  3 |   3                5 9.000e-07 |   3                5 6.000e-07 |   3               12 4.000e-07 |
  4 |   3                8 1.000e-06 |   3                8 7.000e-07 |   3               11 3.000e-07 |
  5 |   4               13 1.100e-06 |   4               12 8.000e-07 |   4               14 4.000e-07 |
  6 |   4               22 1.300e-06 |   4               20 1.200e-06 |   4               15 4.000e-07 |
  7 |   5               36 1.400e-06 |   5               33 1.600e-06 |   5               18 5.000e-07 |
  8 |   5               60 1.600e-06 |   5               55 1.900e-06 |   5               19 5.000e-07 |
  9 |   5              100 2.200e-06 |   5               91 2.500e-06 |   5               17 4.000e-07 |
 10 |   6              167 2.900e-06 |   6              150 5.000e-06 |   6               20 1.500e-06 |
 11 |   6              279 5.100e-06 |   6              249 5.500e-06 |   6               21 8.000e-07 |
 12 |   6              465 7.300e-06 |   6              415 7.900e-06 |   6               22 5.000e-07 |
 13 |   7              777 1.090e-05 |   7              692 1.170e-05 |   7               25 7.000e-07 |
 14 |   7             1297 1.510e-05 |   7             1153 1.750e-05 |   7               26 6.000e-07 |
 15 |   7             2165 2.370e-05 |   7             1923 2.820e-05 |   7               27 5.000e-07 |
 16 |   7             3614 3.950e-05 |   7             3207 4.520e-05 |   7               24 6.000e-07 |
 17 |   8             6031 6.490e-05 |   8             5347 7.430e-05 |   8               27 5.000e-07 |
 18 |   8            10065 1.060e-04 |   8             8918 1.213e-04 |   8               28 6.000e-07 |
 19 |   8            16795 1.758e-04 |   8            14874 1.961e-04 |   8               29 5.000e-07 |
 20 |   8            28024 2.902e-04 |   8            24812 3.363e-04 |   8               30 1.600e-06 |
 21 |   9            46758 5.542e-04 |   9            41388 5.448e-04 |   9               33 7.000e-07 |
 22 |   9            78011 8.138e-04 |   9            69040 1.043e-03 |   9               34 8.000e-07 |
 23 |   9           130089 1.388e-03 |   9           115171 1.536e-03 |   9               35 7.000e-07 |
 24 |   9           216968 2.285e-03 |   9           192124 2.565e-03 |   9               36 5.000e-07 |
 25 |   9           359706 3.780e-03 |   9           320497 4.297e-03 |   9               32 6.000e-07 |
 26 |  10           597823 6.609e-03 |  10           534647 7.276e-03 |  10               35 7.000e-07 |
 27 |  10           995046 1.044e-02 |  10           891872 1.189e-02 |  10               36 7.000e-07 |
 28 |  10          1655498 1.743e-02 |  10          1483987 2.021e-02 |  10               37 8.000e-07 |
 29 |  10          2757259 3.136e-02 |  10          2471688 3.395e-02 |  10               38 1.000e-06 |
 30 |  10          4593012 5.182e-02 |  10          4117456 5.457e-02 |  10               39 8.000e-07 |
 31 |  11          7651017 8.120e-02 |  11          6859871 9.045e-02 |  11               42 1.000e-06 |
 32 |  11         12747967 1.526e-01 |  11         11432554 1.750e-01 |  11               43 1.000e-06 |
 33 |  11         21239691 2.408e-01 |  11         19051890 2.780e-01 |  11               44 8.000e-07 |
 34 |  12         35390165 4.285e-01 |  12         31744860 5.008e-01 |  12               48 1.000e-06 |
 35 |  12         58969547 6.680e-01 |  12         52897235 7.453e-01 |  12               50 1.000e-06 |
