    + --- ---------------- --------- +
    |                plain recursion |
--- + --- ---------------- --------- +
  n | sol            count  cpu time |
--- + --- ---------------- --------- +
  1 |   1                2 8.520e-07 |
  2 |   2                3 5.710e-07 |
  3 |   3                4 3.810e-07 |
  4 |   3                4 4.810e-07 |
  5 |   4                5 4.010e-07 |
  6 |   4                5 3.900e-07 |
  7 |   5                6 4.010e-07 |
  8 |   5                6 3.810e-07 |
  9 |   5                6 4.810e-07 |
 10 |   6                7 4.410e-07 |
 11 |   6                7 5.810e-07 |
 12 |   6                7 7.410e-07 |
 13 |   7                8 7.320e-07 |
 14 |   7                8 6.510e-07 |
 15 |   7                8 4.610e-07 |
 16 |   7                8 5.610e-07 |
 17 |   8                9 4.910e-07 |
 18 |   8                9 4.910e-07 |
 19 |   8                9 4.710e-07 |
 20 |   8                9 5.310e-07 |
 21 |   9               10 5.110e-07 |
 22 |   9               10 5.010e-07 |
 23 |   9               10 5.110e-07 |
 24 |   9               10 4.900e-07 |
 25 |   9               10 5.910e-07 |
 26 |  10               11 5.310e-07 |
 27 |  10               11 5.310e-07 |
 28 |  10               11 5.710e-07 |
 29 |  10               11 5.410e-07 |
 30 |  10               11 5.510e-07 |
 31 |  11               12 1.103e-06 |
 32 |  11               12 1.042e-06 |
 33 |  11               12 9.010e-07 |
 34 |  11               12 1.032e-06 |
 35 |  11               12 1.383e-06 |
 36 |  12               13 1.373e-06 |
 37 |  12               13 1.142e-06 |
 38 |  12               13 1.193e-06 |
 39 |  12               13 1.242e-06 |
 40 |  12               13 1.773e-06 |
 41 |  14               15 1.443e-06 |
 42 |  14               15 8.420e-07 |
 43 |  15               16 8.510e-07 |
 44 |  15               16 6.210e-07 |
 45 |  15               16 6.110e-07 |
 46 |  16               17 7.020e-07 |
 47 |  16               17 6.610e-07 |
 48 |  16               17 1.152e-06 |
 49 |  16               17 1.502e-06 |
 50 |  17               18 8.910e-07 |
 55 |  18               19 7.220e-07 |
 60 |  21               22 9.320e-07 |
 65 |  23               24 1.022e-06 |
 70 |  25               26 9.820e-07 |
 75 |  26               27 9.220e-07 |
 80 |  27               28 9.220e-07 |
 85 |  28               29 9.420e-07 |
 90 |  29               30 1.032e-06 |
 95 |  30               31 1.062e-06 |
100 |  35               36 1.603e-06 |
110 |  39               40 1.482e-06 |
120 |  42               43 1.522e-06 |
130 |  44               45 1.423e-06 |
140 |  46               47 1.513e-06 |
150 |  48               49 1.653e-06 |
160 |  50               51 1.804e-06 |
170 |  57               58 2.244e-06 |
180 |  60               61 2.034e-06 |
190 |  62               63 2.074e-06 |
200 |  64               65 2.164e-06 |
220 |  67               68 2.415e-06 |
240 |  77               78 2.875e-06 |
260 |  81               82 2.836e-06 |
280 |  87               88 3.035e-06 |
300 |  96               97 3.257e-06 |
320 | 100              101 3.306e-06 |
340 | 111              112 3.957e-06 |
360 | 115              116 3.737e-06 |
380 | 120              121 3.937e-06 |
400 | 128              129 4.368e-06 |
420 | 134              135 4.508e-06 |
440 | 137              138 4.428e-06 |
460 | 147              148 4.989e-06 |
480 | 152              153 5.009e-06 |
500 | 156              157 5.049e-06 |
520 | 166              167 5.721e-06 |
540 | 171              172 5.541e-06 |
560 | 178              179 5.981e-06 |
580 | 185              186 6.062e-06 |
600 | 189              190 9.217e-06 |
620 | 193              194 8.385e-06 |
640 | 203              204 1.011e-05 |
660 | 207              208 7.153e-06 |
680 | 213              214 7.945e-06 |
700 | 222              223 8.145e-06 |
720 | 226              227 9.117e-06 |
740 | 236              237 9.318e-06 |
760 | 241              242 1.094e-05 |
780 | 244              245 1.038e-05 |
800 | 253              254 1.021e-05 |
--- + --- ---------------- --------- +
